,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_per_capita,co2_per_gdp,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,oil_co2,oil_co2_per_capita,other_co2_per_capita,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,other_industry_co2
3409,Australia,1990-01-01,AUS,17048002.0,464136601600.0,3.463,0.203,278.16,16.316,0.599,141.877,8.322,243.324,14.273,0.524,90.173,88.777,5.207,0.136,0.007,0.008,0.017,0.002,2.316
3410,Australia,1991-01-01,AUS,17271092.0,461302104064.0,3.183,0.184,279.534,16.185,0.606,146.083,8.458,243.937,14.124,0.529,93.356,88.177,5.105,0.133,0.007,0.008,0.017,0.002,2.304
3411,Australia,1992-01-01,AUS,17462500.0,478633754624.0,2.923,0.167,284.529,16.294,0.594,150.049,8.593,246.536,14.118,0.515,96.279,87.849,5.031,0.139,0.007,0.009,0.017,0.002,2.434
3412,Australia,1993-01-01,AUS,17631514.0,501524758528.0,3.005,0.17,288.874,16.384,0.576,150.096,8.513,247.453,14.035,0.493,99.284,90.318,5.123,0.15,0.007,0.009,0.018,0.002,2.648
3413,Australia,1994-01-01,AUS,17805506.0,527993241600.0,3.484,0.196,293.701,16.495,0.556,151.376,8.502,256.014,14.378,0.485,102.768,91.854,5.159,0.173,0.007,0.009,0.018,0.002,3.074
3414,Australia,1995-01-01,AUS,18003002.0,549038784512.0,3.358,0.187,305.056,16.945,0.556,155.735,8.65,261.645,14.533,0.477,106.126,96.068,5.336,0.166,0.007,0.009,0.018,0.002,2.988
3415,Australia,1996-01-01,AUS,18211850.0,574765662208.0,3.244,0.178,311.94,17.128,0.543,160.388,8.807,268.021,14.717,0.466,109.37,98.664,5.418,0.17,0.007,0.009,0.018,0.002,3.103
3416,Australia,1997-01-01,AUS,18410254.0,601472761856.0,3.185,0.173,320.333,17.4,0.533,167.683,9.108,275.646,14.972,0.458,112.554,98.381,5.344,0.18,0.007,0.009,0.019,0.002,3.307
3417,Australia,1998-01-01,AUS,18601666.0,634847035392.0,3.475,0.187,334.136,17.963,0.526,177.614,9.548,295.576,15.89,0.466,116.03,99.142,5.33,0.188,0.007,0.01,0.019,0.002,3.496
3418,Australia,1999-01-01,AUS,18800892.0,664520753152.0,3.52,0.187,343.959,18.295,0.518,183.231,9.746,296.616,15.777,0.446,119.55,100.809,5.362,0.195,0.007,0.01,0.019,0.002,3.669
